"Fen","Depth","AfterNodes","AfterNps","AfterTimeMs","BeforeNodes","BeforeNps","BeforeTimeMs"
"8/p7/8/1P6/K1k3pP/6P1/8/8 b - h3 0 1","17","1598216","2273422","703","1598216","2339994","683"
"5k2/5p1p/p3B1p1/P5P1/3K1P1P/8/8/8 b - - 0 1","21","2403775","2524973","952","2403775","2411008","997"
"8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1","18","1770573","1989407","890","1770573","2002910","884"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","14","1779869","992676","1793","1779869","974736","1826"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","15","3518631","948418","3710","3518631","900135","3909"
"r3k2r/p6p/8/B7/1pp1p3/3b4/P6P/R3K2R w KQkq - 0 1","15","3693860","1189265","3106","3693860","1137622","3247"
"r3k2r/p6p/8/B7/1pp1p3/3b4/P6P/R3KR2 b Qkq - 0 1","18","2396369","1385184","1730","2396369","1105336","2168"
"r3k2r/p6p/8/8/1Bp1p3/3b4/P6P/R3K2R b KQkq - 0 1","16","3237087","1287624","2514","3237087","1251289","2587"
"r3k2r/p6p/8/B7/1pp1p3/3b4/P6P/R3K1R1 b Qkq - 0 1","16","5029242","1256682","4002","5029242","1102178","4563"
"r3k2r/p6p/8/B7/1pp1p3/3b4/P6P/1R2K2R b Kkq - 0 1","16","1628631","1219948","1335","1628631","1246083","1307"
"r3k2r/p6p/8/B7/1pp1p3/3b4/P6P/2R1K2R b Kkq - 0 1","16","847297","1222650","693","847297","1227966","690"
"r3k2r/p6p/8/B7/1pp1p3/3b4/P6P/3RK2R b Kkq - 0 1","16","3350726","1261093","2657","3350726","1188200","2820"
"r3k2r/p6p/8/B7/1pp1p3/3b4/P4K1P/R6R b kq - 0 1","16","3025132","1240825","2438","3025132","1158166","2612"
"r3k2r/p6p/8/B7/1pp1p2P/3b4/P7/R3K2R b KQkq - 0 1","17","3141183","1227983","2558","3141183","1148512","2735"
"r3k2r/p6p/8/B7/1pp1p3/3b3P/P7/R3K2R b KQkq - 0 1","16","1939615","1223731","1585","1939615","1190678","1629"
"r3k2r/p6p/8/B7/1pp1p3/3b4/P2K3P/R6R b kq - 0 1","16","2737167","1210600","2261","2737167","1113122","2459"
"r3k2r/p6p/8/B7/1pp1p3/3b4/P6P/R2K3R b kq - 0 1","16","1491285","1303570","1144","1491285","1207518","1235"
"r3k2r/p6p/8/B7/1pp1p3/3b4/P6P/2KR3R b kq - 0 1","17","3886102","1329036","2924","3886102","1165947","3333"
"r3k2r/p6p/8/B7/Ppp1p3/3b4/7P/R3K2R b KQkq a3 0 1","17","2532048","1134430","2232","2532048","1183753","2139"
"r3k2r/p6p/8/B7/1pp1p3/P2b4/7P/R3K2R b KQkq - 0 1","17","1342779","1281277","1048","1342779","1204286","1115"
"r3k2r/p1B4p/8/8/1pp1p3/3b4/P6P/R3K2R b KQkq - 0 1","17","1916639","1250253","1533","1916639","1139500","1682"
"r2Bk2r/p6p/8/8/1pp1p3/3b4/P6P/R3K2R b KQkq - 0 1","17","4154015","1513853","2744","4154015","1439866","2885"
"r3k2r/p6p/1B6/8/1pp1p3/3b4/P6P/R3K2R b KQkq - 0 1","15","3695970","1343500","2751","3695970","1267044","2917"
"8/p7/8/1P6/K1k5/6Pp/8/8 w - - 0 1","19","4526866","2391371","1893","4526866","2254415","2008"
